company,pp,res,rows,issuer,nav,cells,median_spread_pct,rule_label,label,basis,note
NM:SPACEX,0.5705394190871369,1.0,964,SPACE EXPLORATION TECHNOLOGIES CORP,71196387934.82,32,0.0,venture,venture,verified,venture-backed; private throughout the window
NM:PROJECT DEBUSSY,0.5972941853770869,0.9366724237190558,3474,DATABRICKS INC,37570892463.03,73,24.368819166062327,venture,venture,verified,"Databricks, filed under a deal code name"
NM:BYTEDANCE,0.7254901960784313,0.9992997198879552,1428,BYTEDANCE LTD,35996612244.27,65,32.85556170448258,venture,venture,verified,venture-backed; private throughout
NM:AT T MOBILITY II,0.0,0.9659574468085106,235,AT&T MOBILITY II LLC,24951447445.48,9,12.888204333491093,unclassified,private_nonventure,verified,AT&T Mobility II LLC preferred interests; corporate structured preferred
NM:EPIC GAMES,0.8125,0.9017857142857143,1120,EPIC GAMES INC,19019408793.71,69,21.131773781386933,venture,venture,verified,venture and strategic rounds; private
NM:FANATICS,0.5433884297520661,1.0,484,FANATICS INC,16282544503.51,46,11.47903628672643,venture,venture,verified,growth-equity rounds; private
NM:WAYMO,0.5246727089627392,0.9274924471299094,993,WAYMO LLC,14653539039.5,71,12.474833538077412,venture,venture,verified,external rounds alongside Alphabet; private
NM:STRIPE,0.9160997732426304,0.8350340136054422,1764,STRIPE INC,13745592381.65,67,13.296551724137927,venture,venture,verified,venture-backed; private
NM:RIVIAN AUTOMOTIVE,0.6447688564476886,0.9391727493917275,411,RIVIAN AUTOMOTIVE INC,13503083026.620003,19,0.27922624342651137,venture,venture,verified,pre-IPO venture rounds; cells end at the Nov-2021 listing
NM:RIVIAN AUTO,0.9195979899497487,0.964824120603015,199,RIVIAN AUTO SER E CVT PFD STOCK PP,11115309427.59,8,0.0,venture,venture,verified,"same issuer, Series E preferred, separate cluster"
ROW:276028,0.7463826366559485,0.8617363344051447,2488,CANVA INC,11026151252.710001,54,9.982154861941662,venture,venture,verified,Canva; venture-backed
NM:ANTHROPIC,0.7830188679245284,0.9088050314465409,318,ANTHROPIC PBC,9192776760.15,13,4.296666072383659,venture,venture,verified,venture-backed
NM:AMSURG,0.0,0.9523809523809523,210,AMSURG (AMBULATORY TOPCO LLC),8778794490.19,10,9.169974779510426e-08,unclassified,private_nonventure,verified,Ambulatory Topco; buyout portfolio company
NM:TAIWAN SEMICONDUCTOR MANUFACTURING,0.0,0.0,6,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,8002584003.6,1,3.4320650401973074,listed,listed,verified,listed on the TWSE; one Level-3 month
NM:ANT INTERNATIONAL,0.45495495495495497,0.9121621621621622,444,ANT INTERNATIONAL CO LTD,7746010043.45,37,31.818181818181813,venture,venture,verified,Ant Group international arm; private
ROW:275786,0.7539118065433855,0.9957325746799431,703,None,7397868525.91,28,19.431719135452287,venture,venture,verified,"Gusto, filed as ZenPayroll"
ROW:287069,0.0,0.3828996282527881,807,INTELSAT SA,7230954722.24,44,19.74679487179487,unclassified,private_nonventure,verified,Intelsat; equity issued in the 2022 reorganisation
NM:OPENAI,0.9055793991416309,0.9055793991416309,233,OPENAI GROUP PBC,6361325052.8,6,8.747748762560459,venture,venture,verified,private; capped-profit and later PBC structure
NM:X AI,0.40414507772020725,0.8031088082901554,193,X.AI HOLDINGS CORP,5929974777.7300005,10,0.4276931383501159,venture,venture,verified,xAI; private
ROW:307758,0.0,0.5229357798165137,545,NMG PARENT,5711939349.39,31,22.413793103448263,unclassified,private_nonventure,verified,"NMG Parent, Neiman Marcus; equity from the 2020 reorganisation"
NM:PSIQUANTUM,0.19636363636363635,0.9745454545454545,275,PsiQuantum Corp,5117777994.76,20,7.236253577744023,unclassified,venture,verified,venture-backed
ROW:276322,0.7714701601164483,0.9810771470160117,687,None,4664879350.1,52,1.4340344168260022,venture,venture,verified,Redwood Materials; venture-backed
NM:NATIONAL RESILIENCE,0.4613003095975232,1.0,323,NATIONAL RESILIENCE INC,4465323363.86,27,2.220446049250313e-14,venture,venture,verified,venture-backed biomanufacturing
NM:SOUTHEASTERN GROCERS,0.0,0.32978723404255317,282,SOUTHEASTERN GROCERS INC,4159321070.18,35,6.8045977011494285,unclassified,private_nonventure,verified,buyout portfolio company
NM:SEQUA,0.0,0.0,182,SEQUA CORPORATION,3647767550.5,24,16.349524188159847,listed,private_nonventure,verified,Carlyle buyout portfolio company
NM:TANIUM,0.6118721461187214,1.0,438,TANIUM INC,3510058330.28,30,50.04699114996582,venture,venture,verified,venture-backed
NM:FARMERS BUS NETWORK BRYRHM7J9,0.4880694143167028,0.9522776572668112,461,FARMERS BUSINESS NETWORK INC,3478608750.37,27,34.4824755172761,venture,venture,verified,Farmers Business Network; venture-backed
NM:VENTURE GLOBAL LNG SR C,0.5466321243523317,0.9948186528497409,386,"Venture Global LNG, Inc",3465414066.55,19,48.92944026995871,venture,private_nonventure,verified,"LNG project developer; infrastructure capital, listed Jan 2025"
NM:PINE PRIVATE IND,0.96,0.9933333333333333,750,PINE LABS PVT LTD,3391319000.98,15,10.012767642267594,venture,venture,verified,Pine Labs; venture-backed
NM:CHECKR,0.6928571428571428,0.8625,560,CHECKR INC,3210843391.71,42,64.74537037037035,venture,venture,verified,venture-backed
ROW:275739,0.41232227488151657,0.9320695102685624,633,None,3109577836.1,42,5.581749984440165e-06,venture,venture,verified,Nuro; venture-backed
NM:RELATIVITY SPACE,0.5878787878787879,0.9,330,RELATIVITY SPACE INC,3109512700.66,18,8.365205987178115,venture,venture,verified,venture-backed
NM:ZIPLINE INTERNATIONAL,1.0,1.0,250,ZIPLINE INTERNATIONAL INC,3065709769.67,15,0.008820801834730219,venture,venture,verified,venture-backed
ROW:130515,0.8597560975609756,0.9573170731707317,656,CARIS LIFE SCIENCES INC,3000269672.82,45,125.64102564102564,venture,venture,verified,Caris Life Sciences; venture-backed
NM:VENTURE,1.0,1.0,156,VENTURE CORP LTD,2876254484.51,13,0.0,venture,private_nonventure,verified,"mostly Venture Global LNG under a filer's wrong issuer name; LNG project developer, listed Jan 2025"
NM:TOAST,0.9090909090909091,1.0,242,TOAST INC,2764752255.48,8,0.0,venture,venture,verified,pre-IPO venture; cells end at the Sep-2021 listing
ROW:33217,0.14388489208633093,0.7877697841726619,278,AIRBNB INC,2690182829.77,10,35.14420306148267,unclassified,venture,verified,Airbnb pre-IPO; cells end at the Dec-2020 listing
ROW:276077,0.5082872928176796,1.0,362,RAPPI INC SER E CVT PFD,2497961142.21,26,2.6589857652964954,venture,venture,verified,Rappi; venture-backed
NM:WINDSTREAM II,0.0,0.0,130,WINDSTREAM HOLDINGS II LLC,2417637876.09,8,119.33334976103816,listed,private_nonventure,verified,equity from the 2020 reorganisation
NM:SWEETGREEN,0.11475409836065574,1.0,549,SWEETGREEN INC,2416146478.43,26,15.715179185690165,unclassified,venture,verified,pre-IPO venture; cells end at the Nov-2021 listing
NM:MAPLEBEAR DBA INSTACART,0.3148148148148148,0.9973544973544973,378,MAPLEBEAR DBA INSTACART PP,2235831354.89,12,0.0,venture,venture,verified,Instacart pre-IPO; cells end Jun-2023
NM:XIAOJU KUAIZHI,0.0,0.8787878787878788,165,XIAOJU KUAIZHI INC,2231130399.84,12,20.022221412179775,unclassified,venture,verified,Didi pre-IPO
NM:WARBY PARKER,0.6829787234042554,0.9957446808510638,470,JAND INC,2201164622.48,16,11.610269135067842,venture,venture,verified,JAND Inc; pre-IPO venture
NM:UIPATH,0.81,0.948,500,UIPATH INC,2149594667.18,15,1.4002116888178762e-05,venture,venture,verified,pre-IPO venture; cells end at the Apr-2021 listing
NM:KOBOLD METALS,0.7777777777777778,1.0,108,KOBOLD METALS SER B-1 CVT PFD STOCK PP,2145092508.6999998,10,5.281437065463024e-07,venture,venture,verified,venture-backed
NM:IHEARTMEDIA,0.0,0.001976284584980237,506,IHEARTMEDIA INC,2139157395.86,34,3.3333667375869402,unclassified,listed,verified,listed after the 2019 reorganisation
NM:ANDURIL,0.8262295081967214,0.9639344262295082,305,ANDURIL INDUSTRIES INC,2048380585.9699998,14,8.783375352602974,venture,venture,verified,venture-backed
NM:DREAM FINDERS HOMES,0.0,0.23943661971830985,142,DREAM FINDERS HOMES INC,1731064557.5,18,0.0,unclassified,listed,verified,listed on the NYSE
NM:GM CRUISE HLDG,0.6355140186915887,0.8878504672897196,107,GM CRUISE HLDG CL G CVT,1683453814.38,16,8.638234748374396,venture,venture,verified,Cruise; outside preferred alongside GM
NM:CONVOY,0.8306451612903226,1.0,248,CONVOY SERIES D CVT PFD STOCK PP,1666068897.99,20,15.52007493040153,venture,venture,verified,venture-backed; wound down 2023
NM:ROOFOODS,0.7873563218390804,0.896551724137931,174,ROOFOODS LTD,1665018135.0,9,15.03553748603068,venture,venture,verified,Deliveroo pre-IPO
NM:CAVA,0.5,0.9285714285714286,98,CAVA GROUP SER E CVT PFD,1629539108.18,7,39.956906870960005,venture,venture,verified,pre-IPO growth equity
NM:SANCHEZ ENERGY,0.0,0.004901960784313725,204,MESQUITE ENERGY INC,1616606595.74,23,54.083612878714305,unclassified,private_nonventure,verified,Mesquite Energy; equity from the 2020 bankruptcy
NM:THINK LEARN PRIVATE,0.0,1.0,137,Think & Learn Private Limited,1585375898.19,12,37.80326166659851,unclassified,venture,verified,Byju's; venture-backed
NM:AURORA INNOVATION,0.7681159420289855,0.8840579710144928,138,AURORA INNOVATION SER B CVT PFD STOCK PP,1556409222.68,9,0.016467809034415026,venture,venture,verified,pre-merger venture
NM:SNYK,0.3423076923076923,1.0,260,SNYK LTD PP,1548619784.82,18,14.64899769623408,venture,venture,verified,venture-backed
NM:KARDIUM,0.8236714975845411,1.0,414,None,1546687841.7,41,9.958130253728825e-06,venture,venture,verified,venture-backed medical devices
NM:SILA NANO,0.6622073578595318,1.0,299,SILA NANO SER F CVT PFD,1427600213.28,21,0.0,venture,venture,verified,venture-backed
NM:AMH NEW FINANCE,0.0,0.75,128,ASSOCIATED MATERIALS (NEW AMI I LLC),1420563114.78,12,9.706244809891029,unclassified,private_nonventure,verified,Associated Materials; buyout portfolio company
NM:SYNIVERSE,0.0,1.0,192,SYNIVERSE CORPORATION,1393438391.13,16,5.754736465135579e-07,unclassified,private_nonventure,verified,Carlyle buyout portfolio company
NM:CITRIX,0.0,0.0,25,Citrix Systems Inc,1389273875.4,1,0.09624639076033503,listed,listed,verified,listed until the Sep-2022 take-private; the single cell is that month
NM:SERVICETITAN,0.9418604651162791,1.0,172,SERVICETITAN INC,1349013558.77,13,1.623196199673771e-06,venture,venture,verified,pre-IPO venture; cells end 2022
NM:GRAB,0.0,0.5714285714285714,14,GRAB INC,1347018360.3400002,2,17.15062162091342,unclassified,venture,verified,pre-merger venture
