company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Anthropic,ANTHROPIC PBC,Fidelity Capital Appreciation Fund,Fidelity Capital Trust,S000005450,275309,0000035402-26-004028,2026-04-30,NS,33300.00000000,11108880.00000000,333.6000,0.145799672355,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Capital Appreciation Fund,Fidelity Capital Trust,S000005450,275309,0000035402-26-004028,2026-04-30,NS,26800.00000000,8940480.00000000,333.6000,0.117340276850,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth Fund,Fidelity Securities Fund,S000007195,754510,0000035402-26-004040,2026-04-30,NS,39600.00000000,13210560.00000000,333.6000,0.013859614943,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth Fund,Fidelity Securities Fund,S000007195,754510,0000035402-26-004040,2026-04-30,NS,393051.00000000,138680184.33000000,352.8300,0.145493753108,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth Fund,Fidelity Securities Fund,S000007195,754510,0000035402-26-004040,2026-04-30,NS,287400.00000000,95876640.00000000,333.6000,0.100587205421,EP,3,Y,N/A
Anthropic,Anthropic PBC,ALGER FOCUS EQUITY FUND,ALGER INSTITUTIONAL FUNDS,S000009201,911415,0000940400-26-025780,2026-04-30,NS,170443.00000000,44167985.43000000,259.1364,0.722883117785,EC,3,Y,000000000
Anthropic,ANTHROPIC PBC,Fidelity Worldwide Fund,Fidelity Investment Trust,S000007103,744822,0000035402-26-004221,2026-04-30,NS,12100.00000000,4036560.00000000,333.6000,0.107343045728,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Worldwide Fund,Fidelity Investment Trust,S000007103,744822,0000035402-26-004221,2026-04-30,NS,24300.00000000,8106480.00000000,333.6000,0.215573224067,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,9200.00000000,3069120.00000000,333.6000,0.015672914646,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,92022.00000000,32468122.26000000,352.8300,0.165803262467,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,62100.00000000,20716560.00000000,333.6000,0.105792173862,EP,3,Y,N/A
Anthropic,Anthropic PBC,Alger AI Enablers & Adopters Fund,ALGER FUNDS,S000084279,3521,0000940400-26-025787,2026-04-30,NS,1013.00000000,262505.17000000,259.1364,1.149293786581,EC,3,Y,000000000
Anthropic,Anthropic PBC,ALGER CAPITAL APPRECIATION INSTITUTIONAL FUND,ALGER INSTITUTIONAL FUNDS,S000009204,911415,0000940400-26-025778,2026-04-30,NS,36700.00000000,9510305.88000000,259.1364,0.288248657194,EC,3,Y,000000000
Anthropic,ANTHROPIC PBC,Fidelity OTC Portfolio,Fidelity Securities Fund,S000007191,754510,0000035402-26-004133,2026-04-30,NS,158200.00000000,52775520.00000000,333.6000,0.130719326120,EP,3,Y,N/A
Anthropic,Anthropic PBC,ALGER CAPITAL APPRECIATION FUND,ALGER FUNDS,S000009163,3521,0000940400-26-025773,2026-04-30,NS,29991.00000000,7771759.77000000,259.1364,0.290708362357,EC,3,Y,000000000
Anthropic,ANTHROPIC PBC,Fidelity OTC K6 Portfolio,Fidelity Securities Fund,S000065698,754510,0000035402-26-004135,2026-04-30,NS,34700.00000000,11575920.00000000,333.6000,0.348007866754,EP,3,Y,N/A
Anthropic,Anthropic PBC,ALGER SPECTRA FUND,ALGER FUNDS II,S000009190,92751,0000940400-26-025781,2026-04-30,NS,8175.00000000,2118440.07000000,259.1364,0.049339587240,EC,3,Y,000000000
Anthropic,ANTHROPIC PBC,Fidelity Large Cap Stock K6 Fund,Fidelity Concord Street Trust,S000057286,819118,0000035402-26-004108,2026-04-30,NS,400.00000000,133440.00000000,333.6000,0.076684082593,EP,3,Y,N/A
Anthropic,ANTHROPIC PBC,Fidelity Large Cap Stock Fund,Fidelity Concord Street Trust,S000055364,819118,0000035402-26-004095,2026-04-30,NS,28300.00000000,9440880.00000000,333.6000,0.092880308351,EP,3,Y,N/A
Anthropic,Anthropic PBC,Nuveen Winslow Large-Cap Growth ESG Fund,Nuveen Investment Trust II,S000025526,1041673,0001041673-26-000064,2026-04-30,NS,9363.00000000,3383320.05000000,361.3500,0.398943487452,EP,3,N,N/A
Anthropic,Anthropic PBC,Nuveen Winslow Large-Cap Growth ESG Fund,Nuveen Investment Trust II,S000025526,1041673,0001041673-26-000064,2026-04-30,NS,8918.00000000,3222519.30000000,361.3500,0.379982700107,EC,3,N,N/A
OpenAI,OPENAI GROUP PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,37152.00000000,25549058.88000000,687.6900,0.130470043243,EP,3,Y,N/A
OpenAI,OPENAI GROUP PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,11900.00000000,8183511.00000000,687.6900,0.041790307778,EC,3,Y,N/A
OpenAI,OPENAI GROUP PBC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,9742.00000000,6699475.98000000,687.6900,0.034211863729,EP,3,Y,N/A
OpenAI,OPENAI GROUP PBC,Fidelity Series Blue Chip Growth Fund,Fidelity Securities Fund,S000042624,754510,0000035402-26-004168,2026-04-30,NS,26645.00000000,18323500.05000000,687.6900,0.103767976620,EP,3,Y,N/A
OpenAI,OPENAI GROUP PBC,Fidelity Series Blue Chip Growth Fund,Fidelity Securities Fund,S000042624,754510,0000035402-26-004168,2026-04-30,NS,9700.00000000,6670593.00000000,687.6900,0.037776294735,EC,3,Y,N/A
