company,date,funds,houses,low,high,spread_pct,guarded,letters,published_spread_pct,published_funds
Discord,2026-03-31,10,4,22.28,226.71,917.5493716337522,False,G/I,53.0,8
Stripe,2026-03-31,15,9,36.9,63.86500000605009,73.0758807752035,True,B/H/I,1.0,8
Epic Games,2026-03-31,26,9,447.24,704.77,57.58205884983454,True,,33.0,7
Anthropic,2026-04-30,25,8,259.1364,388.19,49.80141732307774,True,D/E/F/F-1/G/G-1,39.0,14
Canva,2026-03-31,38,8,1201.33,1673.21,39.279798223635474,True,A/A-2/A-3/A-4/A-5/B,10.0,5
Revolut,2026-04-30,11,2,1110.3139819944597,1495.97,34.7339603265002,True,,35.0,11
Gusto,2026-03-31,10,3,16.17975800431371,21.4,32.264030118957955,True,D/E,32.0,8
Databricks,2026-04-30,23,10,169.12,198.0051291989664,17.07966485274739,True,A/B/C/D/E/F/G/H/I/J/K/L,15.0,12
Anduril,2026-03-31,15,5,63.74,70.03,9.868214621901483,True,B/C/F/G,4.0,7
OpenAI,2026-04-30,16,7,687.6869000656435,687.69,0.0004507769969519515,True,A/A-3/C,0.0,13
