company,fund,series_id,cik,accession,filing_date,report_date,n_sec,tot_balance,tot_val_usd,pps
Databricks,ARK Venture Fund,1905088,1905088,0000940400-26-025087,2026-06-23,2026-04-30,3,100728.0000,19944660.66,198.0051
OpenAI,ARK Venture Fund,1905088,1905088,0000940400-26-025087,2026-06-23,2026-04-30,4,105444.1010,72512628.43,687.6879
Epic Games,ARK Venture Fund,1905088,1905088,0000940400-26-025087,2026-06-23,2026-04-30,2,33868.5000,12225568.02,360.9716
Discord,ARK Venture Fund,1905088,1905088,0000940400-26-025087,2026-06-23,2026-04-30,2,211280.0000,5499266.11,26.0283
Databricks,ARK Venture Fund,1905088,1905088,0000940400-26-012609,2026-03-31,2026-01-30,3,100728.0000,19138320.00,190.0000
OpenAI,ARK Venture Fund,1905088,1905088,0000940400-26-012609,2026-03-31,2026-01-30,3,32737.0000,15815899.44,483.1200
Epic Games,ARK Venture Fund,1905088,1905088,0000940400-26-012609,2026-03-31,2026-01-30,1,33868.5000,14749680.95,435.4985
Discord,ARK Venture Fund,1905088,1905088,0000940400-26-012609,2026-03-31,2026-01-30,2,21128.0000,6105992.00,289.0000
Databricks,ARK Venture Fund,1905088,1905088,0000940400-25-014993,2025-12-29,2025-10-31,2,61254.0000,9188100.00,150.0000
OpenAI,ARK Venture Fund,1905088,1905088,0000940400-25-014993,2025-12-29,2025-10-31,3,24958.0000,16267466.07,651.7937
Epic Games,ARK Venture Fund,1905088,1905088,0000940400-25-014993,2025-12-29,2025-10-31,1,8389.5000,4485446.18,534.6500
Discord,ARK Venture Fund,1905088,1905088,0000940400-25-014993,2025-12-29,2025-10-31,1,13667.0000,4318088.65,315.9500
OpenAI,ARK Venture Fund,1905088,1905088,0000940400-25-002007,2025-09-23,2025-07-31,3,24958.0000,10835266.12,434.1400
Epic Games,ARK Venture Fund,1905088,1905088,0000940400-25-002007,2025-09-23,2025-07-31,1,8389.5000,3672637.50,437.7660
Discord,ARK Venture Fund,1905088,1905088,0000940400-25-002007,2025-09-23,2025-07-31,1,13667.0000,3553420.00,260.0000
OpenAI,ARK Venture Fund,1905088,1905088,0001752724-25-155355,2025-06-25,2025-04-30,3,24958.0000,10835266.12,434.1400
Epic Games,ARK Venture Fund,1905088,1905088,0001752724-25-155355,2025-06-25,2025-04-30,1,8389.5000,3701699.09,441.2300
Discord,ARK Venture Fund,1905088,1905088,0001752724-25-155355,2025-06-25,2025-04-30,1,11744.0000,3053440.00,260.0000
OpenAI,ARK Venture Fund,1905088,1905088,0001752724-25-073662,2025-03-28,2025-01-31,2,13441.4847,3740899.61,278.3100
Epic Games,ARK Venture Fund,1905088,1905088,0001752724-25-073662,2025-03-28,2025-01-31,1,8389.5000,3849186.50,458.8100
Discord,ARK Venture Fund,1905088,1905088,0001752724-25-073662,2025-03-28,2025-01-31,1,11744.0000,2952441.60,251.4000
OpenAI,ARK Venture Fund,1905088,1905088,0001752724-24-296178,2024-12-26,2024-10-31,2,13441.3833,3516669.11,261.6300
Epic Games,ARK Venture Fund,1905088,1905088,0001752724-24-296178,2024-12-26,2024-10-31,1,6559.5000,3664071.11,558.5900
Discord,ARK Venture Fund,1905088,1905088,0001752724-24-296178,2024-12-26,2024-10-31,1,11744.0000,2681507.52,228.3300
OpenAI,ARK Venture Fund,1905088,1905088,0001752724-24-219578,2024-09-26,2024-07-31,1,5797.1014,1000000.00,172.5000
Epic Games,ARK Venture Fund,1905088,1905088,0001752724-24-219578,2024-09-26,2024-07-31,1,6559.5000,3664071.11,558.5900
Discord,ARK Venture Fund,1905088,1905088,0001752724-24-219578,2024-09-26,2024-07-31,1,11744.0000,2606463.36,221.9400
OpenAI,ARK Venture Fund,1905088,1905088,0001752724-24-146528,2024-06-26,2024-04-30,1,15290.5200,2293578.00,150.0000
