security,cusip,fund,family,report_date,price_per_share,fair_val_level,accession
Alphabet Inc Class A,02079K107,Fidelity Contrafund,Fidelity,2026-03-31,286.86,1,0000035402-26-003312
Alphabet Inc Class A,02079K107,T. Rowe Price Blue Chip Growth,T. Rowe Price,2026-03-31,286.86,1,0001099263-26-006586
Alphabet Inc Class C,02079K305,Fidelity Contrafund,Fidelity,2026-03-31,287.56,1,0000035402-26-003312
Alphabet Inc Class C,02079K305,T. Rowe Price Blue Chip Growth,T. Rowe Price,2026-03-31,287.56,1,0001099263-26-006586
Amazon.com Inc,023135106,Fidelity Contrafund,Fidelity,2026-03-31,208.27,1,0000035402-26-003312
Amazon.com Inc,023135106,T. Rowe Price Blue Chip Growth,T. Rowe Price,2026-03-31,208.27,1,0001099263-26-006586
Apple Inc,037833100,Fidelity Contrafund,Fidelity,2026-03-31,253.79,1,0000035402-26-003312
Apple Inc,037833100,T. Rowe Price Blue Chip Growth,T. Rowe Price,2026-03-31,253.79,1,0001099263-26-006586
Cintas Corp,172908105,Fidelity Contrafund,Fidelity,2026-03-31,169.14,1,0000035402-26-003312
Cintas Corp,172908105,T. Rowe Price Blue Chip Growth,T. Rowe Price,2026-03-31,169.14,1,0001099263-26-006586
