company,security,acquired,acquired_last,lots_spanned,cost,value,markup_pct,shares,in_thousands,doc,cost_per_share,mark_per_share,filer,cik,adsh,form,file_date,period
Anduril,"AND III, a Series of FDVC Growth, LP (economic exposure to Anduril Ind",3/7/2025,3/7/2025,1,2243000.0,2488789.0,10.958047258136428,,False,https://www.sec.gov/Archives/edgar/data/2052053/000121390025123946/ea0269626-01_ncsr.htm,,,Powerlaw Corp.  (PWRL)  (CIK 0002052053),0002052053,0001213900-25-123946,N-CSR,2025-12-19,2025-09-30
Anduril,"Anduril  Industries, Inc. (233,284 preferred shares)",08/05/2024,08/05/2024,1,6615056.0,9537303.0,44.175695564784334,,False,https://www.sec.gov/Archives/edgar/data/1918642/000121390025052666/ea0244163-01_ncsr.htm,,,StepStone Private Venture & Growth Fund  (CIK 0001918642),0001918642,0001213900-25-052666,N-CSR,2025-06-09,2025-03-31
Anduril,"Anduril  Industries, Inc. (65,393 preferred shares)",03/20/2025,03/20/2025,1,2673449.0,2673449.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/1918642/000121390025052666/ea0244163-01_ncsr.htm,,,StepStone Private Venture & Growth Fund  (CIK 0001918642),0001918642,0001213900-25-052666,N-CSR,2025-06-09,2025-03-31
Anduril,"Anduril  Industries, Inc. (91,127 common shares)",05/14/2024,05/14/2024,1,2514476.0,3725527.0,48.16315606114357,,False,https://www.sec.gov/Archives/edgar/data/1918642/000121390025052666/ea0244163-01_ncsr.htm,,,StepStone Private Venture & Growth Fund  (CIK 0001918642),0001918642,0001213900-25-052666,N-CSR,2025-06-09,2025-03-31
Anduril,Anduril Holdings SPV LP,"June 2, 2025","June 2, 2025",1,3180000.0,3000000.0,-5.660377358490565,,False,https://www.sec.gov/Archives/edgar/data/1495922/000158064226001133/ershares_ncsrs.htm,,,EntrepreneurShares Series Trust  (CIK 0001495922),0001495922,0001580642-26-001133,N-CSRS,2026-02-19,2025-12-31
Anduril,"Anduril Industries, Inc.",4/28/2026,4/28/2026,1,1249973.0,1249973.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/1843181/000089843226000447/nbxg-ncsrs.htm,,,Neuberger Next Generation Connectivity Fund Inc.  (NBXG)  (C,0001843181,0000898432-26-000447,N-CSRS,2026-06-26,2026-04-30
Anduril,"Anduril Industries, Inc. - Series Seed - Preferred",01/06/26,01/06/26,1,7350.0,7350.0,0.0,76.0,False,https://www.sec.gov/Archives/edgar/data/1867090/000199937126011950/fundrise-ncsra_033126.htm,96.71052631578948,96.71052631578948,"Fundrise Innovation Fund, LLC  (VCX)  (CIK 0001867090)",0001867090,0001999371-26-011950,N-CSR,2026-06-03,2026-03-31
Anthropic,"Altimeter Adirondack Fund I, L.P. (economic exposure to Anthropic, PBC",8/25/2025,8/25/2025,1,4110600.0,4094558.0,-0.39025932953826725,,False,https://www.sec.gov/Archives/edgar/data/2052053/000121390025123946/ea0269626-01_ncsr.htm,,,Powerlaw Corp.  (PWRL)  (CIK 0002052053),0002052053,0001213900-25-123946,N-CSR,2025-12-19,2025-09-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,196425.0,196425.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/3521/000113322826009580/af-efp25652_ncsrs.htm,,,ALGER FUNDS  (CIK 0000003521),0000003521,0001133228-26-009580,N-CSRS,2026-06-25,2026-04-30
Anthropic,"Anthropic  PBC, Series G",3/31/26,3/31/26,1,262505.0,262505.0,0.0,,False,https://www.sec.gov/Archives/edgar/data/3521/000113322826009580/af-efp25652_ncsrs.htm,,,ALGER FUNDS  (CIK 0000003521),0000003521,0001133228-26-009580,N-CSRS,2026-06-25,2026-04-30
