company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
xAI,N/A,USVC Venture Capital Access Fund,USVC Venture Capital Access Fund,,1858660,0001049169-26-000395,2025-12-31,OU,1801802.00000000,1801802.00000000,1.0000,21.79701872448,EC,3,Y,N/A
Perplexity,PERPLEXITY AI SER E-1 CVT PFD PP,T. Rowe Price Global Allocation Fund,"T. ROWE PRICE GLOBAL ALLOCATION FUND, INC.",S000040952,1571768,0001099263-26-008030,2026-04-30,NS,980.000000,68153.490000,69.5444,0.0079559102,EP,3,Y,000000000
Perplexity,"Perplexity AI, Inc.",ARK Venture Fund,ARK Venture Fund,,1905088,0000940400-26-025087,2026-04-30,NS,60810.00000000,3542758.43000000,58.2595,0.410779881392,EC,3,N,000000000
Perplexity,PERPLEXITY AI SER D-1 CVT PFD PP,"T. Rowe Price Global Technology Fund, Inc.","T. ROWE PRICE GLOBAL TECHNOLOGY FUND, INC.",S000002085,1116626,0001099263-26-006613,2026-03-31,NS,193950.000000,13488132.500000,69.5444,0.2384489609,EP,3,Y,TC4VQD898
Perplexity,PERPLEXITY AI SER E-1 CVT PFD PP,"T. Rowe Price Global Technology Fund, Inc.","T. ROWE PRICE GLOBAL TECHNOLOGY FUND, INC.",S000002085,1116626,0001099263-26-006613,2026-03-31,NS,104960.000000,7299378.120000,69.5444,0.1290415206,EP,3,Y,000000000
Perplexity,PERPLEXITY AI SER E-1 CVT PFD PP,T. Rowe Price All-Cap Opportunities Portfolio,"T. ROWE PRICE EQUITY SERIES, INC.",S000002078,918294,0001099263-26-006590,2026-03-31,NS,13460.000000,936067.350000,69.5444,0.1869656388,EP,3,Y,000000000
Perplexity,PERPLEXITY AI SER D-1 CVT PFD PP,"T. Rowe Price Science & Technology Fund, Inc.","T. ROWE PRICE SCIENCE & TECHNOLOGY FUND, INC.",S000002119,819930,0001099263-26-006576,2026-03-31,NS,60810.000000,4228993.750000,69.5444,0.0393934655,EP,3,Y,TC4VQD898
Perplexity,PERPLEXITY AI SER E-1 CVT PFD PP,T. Rowe Price All-Cap Opportunities Fund,"T. Rowe Price All-Cap Opportunities Fund, Inc.",S000002104,773485,0001099263-26-006569,2026-03-31,NS,409490.000000,28477728.170000,69.5444,0.1983811652,EP,3,Y,000000000
Cohere,"COHERE TECHNOLOGIES, INC. PREFERRED SERIES D-2   /",The Private Shares Fund,The Private Shares Fund,,1557265,0001193125-26-241036,2026-03-31,NS,386038,2852820.82,7.3900,0.2455577073,EP,3,Y,999999999
Cohere,"COHERE TECHNOLOGIES, INC. PREFERRED SERIES D-1   /",The Private Shares Fund,The Private Shares Fund,,1557265,0001193125-26-241036,2026-03-31,NS,279571,2066029.69,7.3900,0.1778343422,EP,3,Y,999999999
Fanatics,FANATICS INC,Fidelity Small Cap Growth Fund,Fidelity Securities Fund,S000007193,754510,0000035402-26-004189,2026-04-30,NS,726062.00000000,63406994.46000000,87.3300,0.752421788919,EC,3,Y,N/A
Fanatics,FANATICS INC,Fidelity Small Cap Growth K6 Fund,Fidelity Securities Fund,S000057285,754510,0000035402-26-004196,2026-04-30,NS,163048.00000000,14238981.84000000,87.3300,0.331832838668,EC,3,Y,N/A
Fanatics,FANATICS HOLDINGS INC CLASS A,Neuberger Long Short Fund,NEUBERGER BERMAN ALTERNATIVE FUNDS,S000035446,1317474,0001410368-26-067195,2026-04-30,NS,2026590.00000000,149663671.50000000,73.8500,1.813370175631,EC,3,Y,000000000
Fanatics,FANATICS INC,Fidelity Series Blue Chip Growth Fund,Fidelity Securities Fund,S000042624,754510,0000035402-26-004168,2026-04-30,NS,159285.00000000,13910359.05000000,87.3300,0.078775878448,EC,3,Y,N/A
Fanatics,FANATICS INC,Fidelity Blue Chip Growth K6 Fund,Fidelity Securities Fund,S000057284,754510,0000035402-26-004034,2026-04-30,NS,225366.00000000,19681212.78000000,87.3300,0.100505020343,EC,3,Y,N/A
Fanatics,"Fanatics Holdings, Inc.",Franklin Small-Mid Cap Growth Fund,Franklin Strategic Series,S000006888,872625,0002071691-26-014400,2026-04-30,NS,793714.00000000,39685700.00000000,50.0000,1.122875617477,EC,3,Y,N/A
Fanatics,"Fanatics Holdings, Inc.",Franklin Growth Opportunities Fund,Franklin Strategic Series,S000006878,872625,0002071691-26-014424,2026-04-30,NS,514969.00000000,25748450.00000000,50.0000,0.574422986365,EC,3,Y,N/A
