key,company,listing,anchor,cells_before,window_from,window_to,days_to_listing,first_spread,last_spread,change_pts,rho
NM:AURORA INNOVATION,"Aurora Innovation, Inc.",2021-11-03,successor name,9,2020-12-31,2021-09-30,34,112.73118858558134,5.555556474368095,-107.17563211121325,-0.316227766016838
NM:RIVIAN AUTOMOTIVE,"Rivian Automotive, Inc. / DE",2021-11-08,8-A12B,19,2021-07-31,2021-10-31,8,92.75440976933513,16.309153430489598,-76.44525633884552,-0.39999999999999997
NM:UIPATH,"UiPath, Inc.",2021-04-16,8-A12B,15,2020-11-30,2021-03-31,16,56.46523094068907,1.1814902611817502e-06,-56.465229759198806,-0.39999999999999997
NM:HONEST,"Honest Company, Inc.",2021-05-03,8-A12B,20,2021-01-31,2021-04-30,3,37.23223910355908,9.101935469641154,-28.130303633917926,-0.39999999999999997
NM:ALLBIRDS,"Allbirds, Inc.",2021-10-25,8-A12B,21,2021-06-30,2021-09-30,25,14.214523260861146,3.770850733529141,-10.443672527332005,-0.7999999999999999
NM:XIAOJU KUAIZHI,DiDi Global Inc.,2021-06-24,8-A12B,12,2020-09-30,2021-04-30,55,9.946057497527994,4.419116176764626,-5.526941320763368,-0.39999999999999997
NM:TOAST,"Toast, Inc.",2021-09-20,8-A12B,8,2020-09-30,2021-06-30,82,0.0,0.0,0.0,0.0
NM:SWEETGREEN,"Sweetgreen, Inc.",2021-11-15,8-A12B,26,2021-07-31,2021-10-31,15,30.038022813688194,30.038022813688194,0.0,-0.2581988897471611
NM:DOORDASH,DoorDash Inc,2020-12-02,8-A12B,4,2019-12-31,2020-09-30,63,2.161677592482647e-06,0.0004364562826042473,0.00043429460501176465,0.7378647873726218
NM:WARBY PARKER,Warby Parker Inc.,2021-09-21,8-A12B,16,2021-03-31,2021-08-31,21,12.210935811540956,17.350611951043927,5.139676139502971,0.39999999999999997
NM:PALANTIR,Palantir Technologies Inc.,2020-09-21,8-A12B,4,2019-09-30,2020-06-30,83,0.6568144499179196,10.625909752547313,9.969095302629395,0.7999999999999999
NM:OUTSET MEDICAL,"Outset Medical, Inc.",2020-09-11,8-A12B,8,2020-03-31,2020-08-31,11,23.464346847526627,33.63636363636362,10.172016788836991,0.7999999999999999
NM:DRAFTKINGS,DraftKings Inc.,2020-04-29,8-K12B,5,2019-10-31,2020-03-31,29,3.8491666777263234,32.75250840899497,28.903341731268647,0.7999999999999999
ROW:33217,"Airbnb, Inc.",2020-12-08,8-A12B,10,2020-06-30,2020-11-30,8,61.67676767676768,149.0491631605848,87.37239548381713,0.39999999999999997
NM:DOXIMITY,"Doximity, Inc.",2021-06-15,8-A12B,7,2020-06-30,2021-03-31,76,33.27586206896554,133.37752734504474,100.1016652760792,0.7999999999999999
