company,dt,n_fams,lo,hi,n_funds,nav,spread_pct,guarded
NM:1661 D B A GOAT,2021-06-30,2,5.819899998936908,5.819900259928671,5,29828285.35,4.484471616272856e-06,True
NM:1661 D B A GOAT,2021-09-30,2,5.819899998936908,5.819900259928671,5,29828285.349999998,4.484471616272856e-06,True
NM:1661 D B A GOAT,2021-12-31,2,5.819899998936908,5.819900259928671,5,29828285.35,4.484471616272856e-06,True
NM:1661 D B A GOAT,2022-03-31,2,5.819899998936908,5.819900259928671,5,29828285.35,4.484471616272856e-06,True
NM:1661 D B A GOAT,2022-06-30,2,4.06,4.06,5,20808405.38,0.0,True
NM:1661 D B A GOAT,2022-09-30,2,1.84,1.84,5,9430410.32,0.0,True
NM:1STDIBS,2019-09-30,2,5.011009956830525,5.01100999947071,5,34583816.24,8.509299709302809e-07,True
NM:1STDIBS,2019-12-31,2,5.011009956830525,5.01100999947071,5,34583816.24,8.509299709302809e-07,True
NM:1STDIBS,2020-03-31,2,3.708099846817992,3.7080999974394366,5,25591696.87,4.06195763691386e-06,True
NM:1STDIBS,2020-06-30,2,4.67,4.67,5,32230313.22,0.0,True
NM:1STDIBS,2020-09-30,2,4.67,4.67,5,32230313.220000003,0.0,True
NM:1STDIBS,2020-12-31,2,8.31,8.31,5,57352013.45999999,0.0,True
NM:1STDIBS,2021-03-31,2,8.31,8.31,5,57352013.46,0.0,True
NM:2020 CASH MANDATORY EXCHANGEABLE TRUST,2020-06-30,2,1020.05,1033.625,7,31963031.96,1.330817116808003,True
NM:23ANDME,2020-03-31,2,12.63,23.21,6,75855381.73,83.76880443388757,True
NM:23ANDME,2020-06-30,2,10.45,23.16,6,64665904.52,121.62679425837322,True
NM:23ANDME,2020-09-30,2,10.45,22.69,6,64439760.730000004,117.12918660287085,True
NM:23ANDME,2020-12-31,2,17.35,20.87,6,116261760.44,20.288184438040346,True
NM:A PLACE FOR ROVER,2019-09-30,2,6.949999999999999,6.95,5,37077464.65,2.220446049250313e-14,True
NM:A PLACE FOR ROVER,2019-12-31,2,6.25,6.25,5,33343043.75,0.0,True
NM:A PLACE FOR ROVER,2020-03-31,2,4.625,4.625,5,24673852.39,0.0,True
NM:A PLACE FOR ROVER,2020-06-30,2,5.76,5.76,5,30728949.12,0.0,True
NM:A PLACE FOR ROVER,2020-09-30,2,5.76,5.76,5,30728949.12,0.0,True
NM:A PLACE FOR ROVER,2020-12-31,2,4.32,4.32,5,23046711.84,0.0,True
NM:AARTI PHARMALABS,2022-10-31,4,4.580816513761468,4.580955128205128,7,6639905.37,0.0030259767716867003,True
NM:AARTI PHARMALABS,2022-11-30,5,4.656403516258428,4.661317957166392,5,349814.56,0.10554155993578451,True
NM:AARTI PHARMALABS,2022-12-31,5,4.583582834331337,4.784234371957156,10,5465122.140000001,4.37761342770826,True
NM:ABACUS STORAGE KING,2023-07-31,2,0.9470968009970918,0.9470969169317612,6,1952051.13,1.2241058078288347e-05,True
NM:ABB POWER PRODUCTS AND INDIA,2020-01-31,3,10.28265522875817,10.65059579022476,6,3616471.4,3.578264108647211,True
NM:ABENGOA,2020-07-31,3,0.006719030601203,0.013134160430726498,6,548057.03,95.47701462134897,True
NM:ABL SPACE,2021-03-31,4,45.03559984236897,45.03560027378508,11,90160235.39999999,9.579446347274256e-07,True
NM:ABL SPACE,2021-04-30,2,45.03559985197147,45.03560092719343,5,20735921.45,2.387493358568804e-06,True
NM:ABL SPACE,2021-06-30,4,45.03559984236897,45.03560027378508,11,90160235.39999999,9.579446347274256e-07,True
NM:ABL SPACE,2021-08-31,2,45.035599721059974,45.03559996982145,7,10920592.57,5.523662860440481e-07,True
NM:ABL SPACE,2021-09-30,4,45.03560002197257,67.99609975792377,11,95817345.77,50.982999504278666,True
NM:ABL SPACE,2021-11-30,3,67.99609983490858,67.99610024449878,8,65097290.25,6.023730847459774e-07,True
NM:ABL SPACE,2021-12-31,4,67.99609993155373,67.99610007436979,13,191372507.6,2.1003567773902887e-07,True
NM:ABL SPACE,2022-01-31,2,67.99610003105373,67.99610019171422,6,50530757.76,2.3627897416389487e-07,True
NM:ABL SPACE,2022-02-28,3,57.8,67.99610024449878,8,92517136.65,17.64031184169339,True
NM:ABL SPACE,2022-03-31,3,57.8,67.99610000701315,12,180116646.22,17.640311430818613,True
NM:ABL SPACE,2022-06-30,3,57.8,67.99610000701315,12,180116646.22,17.640311430818613,True
NM:ABL SPACE,2022-09-30,3,57.8,67.99610000701315,12,180116646.22,17.640311430818613,True
NM:ABU DHABI COMMERCIAL BANK P J S C,2020-07-31,2,1.366674377351144,1.3825917322977364,15,135020807.3493,1.1646779372159521,True
NM:ABU DHABI COMMERCIAL BANK P J S C,2020-10-31,2,1.5911790288182746,1.5980833855728398,15,148842472.2738541,0.4339145143015699,True
NM:ABU DHABI COMMERCIAL BANK P J S C,2022-01-31,2,2.4482005459437164,2.448202448116833,7,207561489.70999998,7.769678509461642e-05,True
NM:ABU DHABI COMMERCIAL BANK P J S C,2023-01-31,2,2.29345646905702,2.2934567532092647,7,196862018.38,1.2389694270531493e-05,True
NM:ABU DHABI COMMERCIAL BANK P J S C,2024-01-31,2,2.4503465235523763,2.4520755823490203,8,223162197.54,0.0705638480118953,True
NM:ACERTA PHARMA,2019-09-30,3,0.0835000018428704,0.12450000000839,5,90876451.2,49.101793126511595,True
NM:ACERTA PHARMA,2019-12-31,3,0.1121999972044002,0.1260999998890827,5,107800074.16,12.38859450179859,True
NM:ACERTA PHARMA,2020-03-31,3,0.1121999972044002,0.1255999999795456,5,81742096.45,11.942961772747607,True
NM:ACHILLION PHARMACEUTICALS CVR,2020-03-31,5,0.4599999999999999,0.58,8,59391.72,26.086956521739157,True
NM:ACHILLION PHARMACEUTICALS CVR,2020-06-30,5,0.4599999999999999,0.58,9,70041.64,26.086956521739157,True
NM:ACHILLION PHARMACEUTICALS CVR,2020-09-30,4,0.1725,1.3547001189255647,8,129223.61,685.3334022756898,False
NM:ACHILLION PHARMACEUTICALS CVR,2020-12-31,4,0.1725,1.495200073042279,8,158741.84,766.7826510390023,False
NM:ACHILLION PHARMACEUTICALS CVR,2021-03-31,4,0.58,1.5038001049132068,8,188360.28,159.27588015744948,True
NM:ACHILLION PHARMACEUTICALS CVR,2021-06-30,4,0.58,1.5038001049132068,8,189559.62,159.27588015744948,True
NM:ACHILLION PHARMACEUTICALS CVR,2021-09-30,4,0.58,1.5038001049132068,8,181167.02,159.27588015744948,True
NM:ACHILLION PHARMACEUTICALS CVR,2021-12-31,4,0.54375,1.5038001049132068,8,168578.12,176.56093883461276,True
NM:ACHILLION PHARMACEUTICALS CVR,2022-03-31,4,0.54375,1.5038001049132068,8,168578.12,176.56093883461276,True
NM:ACHILLION PHARMACEUTICALS CVR,2022-06-30,3,0.58,1.5038001049132068,7,155989.22,159.27588015744948,True
NM:ACHILLION PHARMACEUTICALS CVR,2022-09-30,3,0.58,1.5038001049132068,7,155595.84,159.27588015744948,True
NM:ACHILLION PHARMACEUTICALS CVR,2022-12-31,3,1.0725,1.5038001049132068,7,166796.36000000002,40.2144619965694,True
NM:ACHILLION PHARMACEUTICALS CVR,2023-03-31,4,0.53625,1.5038001049132068,8,187281.1,180.4289239931388,True
NM:ACHILLION PHARMACEUTICALS CVR,2023-06-30,4,0.26999999999999996,1.5194899497269594,8,159488.58000000002,462.7740554544295,False
NM:ACHILLION PHARMACEUTICALS CVR,2023-09-30,2,0.26999999999999996,1.5194899497269594,6,120337.54000000001,462.7740554544295,False
NM:ACHILLION PHARMACEUTICALS CVR,2023-12-31,2,0.26999999999999996,1.5194899497269594,6,120337.54000000001,462.7740554544295,False
NM:ACHILLION PHARMACEUTICALS CVR,2024-03-31,2,0.26999999999999996,1.5194899497269594,6,120337.54000000001,462.7740554544295,False
NM:ACNR,2020-12-31,3,65.95630413625304,125.0,7,2948534.65,89.5194123396818,True
NM:ACNR,2021-03-31,3,65.95630413625304,125.0,7,2948534.65,89.5194123396818,True
NM:ACNR,2021-11-30,3,52.5,320.0,6,14698475.5,509.5238095238095,False
NM:ACNR,2022-02-28,3,52.0,300.0,6,14168847.0,476.9230769230769,False
NM:ACNR,2025-06-30,3,73.75,94.64,6,7354435.85,28.32542372881357,True
NM:ACRISURE,2025-06-30,2,24.51,24.51,7,79390083.94,0.0,True
NM:ACRISURE,2025-09-30,2,25.84,25.84,7,82260125.99,0.0,True
NM:ACRISURE,2025-11-30,2,24.08,26.76,16,60100056.32,11.129568106312316,True
NM:ACRISURE,2025-12-31,2,27.24,27.24,7,86301646.47999999,0.0,True
NM:ACRISURE,2026-02-28,2,24.08,28.18,16,61394826.519999996,17.026578073089716,True
NM:ACRISURE,2026-03-31,2,28.72,28.72,7,92148925.65,0.0,True
NM:ADANI ENTERPRISE PARTLY P,2025-12-31,4,4.628424493701164,14.926670135275756,9,1851564.2600000002,222.50002469716213,True
NM:ADELPHIA RECOVERY TRUST,2019-09-30,3,1.8975332068311195e-06,0.0013079868290068,5,15139.62,68830.90588865835,False
NM:ADELPHIA RECOVERY TRUST,2019-12-31,3,1.8975332068311195e-06,0.000499999859066,6,14974.12,26249.9925727782,False
NM:ADELPHIA RECOVERY TRUST,2020-03-31,3,1.8975332068311195e-06,0.000499999859066,6,14974.12,26249.9925727782,False
NM:ADELPHIA RECOVERY TRUST,2020-06-30,3,1.8975332068311195e-06,0.000499999859066,6,14974.12,26249.9925727782,False
NM:ADELPHIA RECOVERY TRUST,2020-09-30,3,1.8975332068311195e-06,0.000499999859066,6,14974.12,26249.9925727782,False
NM:ADLER S A,2023-06-30,2,0.5316249552177696,0.5316251575172057,8,428586.63,3.805303609993871e-05,True
NM:ADLER S A,2023-09-30,2,0.4614135385979917,0.4614135830902298,8,371983.29,9.642594833714213e-06,True
NM:ADLER S A,2023-12-31,2,0.5388709759967245,0.5388711710855586,8,434428.23,3.620325510489408e-05,True
NM:ADLER S A,2024-03-31,2,0.1855826661809264,0.1855826807922616,8,149613.41,7.87322194106821e-06,True
NM:ADLER S A,2024-12-31,3,1.0367239967605163e-06,1.0333463057869248e-05,20,105.94,896.7419573732778,False
NM:ADLER S A,2025-03-31,3,1.0808402319615484e-06,1.0814351638574231e-05,20,110.59,900.5504346325034,False
NM:ADLER S A,2025-06-30,3,1.1786065078184177e-06,1.1824577159107918e-05,20,120.48,903.2675944573756,False
NM:ADLER S A,2025-09-30,3,1.1732817275166058e-06,1.1824577159107918e-05,20,187.67,907.8207886298615,False
NM:ADLER S A,2025-12-31,3,1.1757969571442378e-06,1.1824577159107918e-05,20,120.22,905.6648885898902,False
NM:ADLER S A,2026-03-31,3,1.1550671259289197e-06,1.155615665750952e-05,20,181.05,900.4748986528303,False
NM:ADVENT HOTELS INTERNATIONAL PV,2025-07-31,2,3.5696856344956576,3.569685648341859,6,2679353.2199999997,3.87882947983087e-07,True
NM:ADVENT HOTELS INTERNATIONAL PV,2025-10-31,2,3.522536510376633,3.5225368665653765,6,2643973.9,1.0111711890026243e-05,True
NM:AEDIFICA,2025-04-30,3,80.16618649148982,80.16618837380427,9,95411760.55,2.3480154487387495e-06,True
NM:AESTAS MANAGEMENT,2025-10-31,3,430.0,430.0,5,38009850.0,0.0,True
NM:AGILITY GLOBAL,2024-04-30,4,0.0243330867370115,0.3539437512774078,8,2396038.2399999998,1354.5781022472854,False
NM:AGILITY PUBLIC WAREHOUSING KSC,2024-04-30,4,0.02435133000358625,1.0655205952598463,10,8262630.829999999,4275.61560334867,False
NM:AGROFRESH SOLUTIONS,2023-03-31,2,3.0,3.0,5,2895003.0,0.0,True
NM:AIFUL,2026-03-31,5,2.724635948213511,2.8165464270962413,7,9191389.36,3.3733122747277244,True
NM:AIMBRIDGE,2025-03-31,4,48.3,71.17,14,109467516.97,47.349896480331275,True
NM:AIMBRIDGE,2025-06-30,5,0.6721080003148541,75.27999999999999,10,7580477.28,11100.58085378161,False
NM:AIMBRIDGE,2025-09-30,4,48.77,77.43,9,5519519.93,58.76563461144146,True
NM:AIMBRIDGE,2025-12-31,4,49.129999999999995,73.95,8,4653498.07,50.51903114186853,True
NM:AIMBRIDGE,2026-03-31,4,45.0,71.56,8,3715600.51,59.02222222222222,True
NM:AIMBRIDGE TOPCO,2025-04-30,2,55.0,71.17,5,28990604.06,29.400000000000006,True
NM:AIMBRIDGE TOPCO,2025-06-30,3,58.53743776106934,75.28,9,122097048.52,28.601460670807487,True
NM:AIMBRIDGE TOPCO,2025-07-31,2,64.0,75.28,5,29330073.84,17.625,True
NM:AIMBRIDGE TOPCO,2025-09-30,3,60.05869841269841,77.43,9,125480289.25999999,28.923872888375346,True
NM:AIMBRIDGE TOPCO,2025-10-31,2,64.5,75.72,5,25132275.62,17.3953488372093,True
NM:AIMBRIDGE TOPCO,2025-12-31,3,60.73545697577277,73.95,9,119713463.02,21.75754276369153,True
NM:AIMBRIDGE TOPCO,2026-01-31,2,60.5,73.77,5,24390023.61,21.933884297520656,True
NM:AIMBRIDGE TOPCO,2026-03-31,3,45.0,71.56,9,115726038.82,59.02222222222222,True
NM:AIMBRIDGE TOPCO,2026-04-30,2,40.0,69.05,5,22153883.749999996,72.62499999999999,True
NM:AKOUOS,2024-12-31,4,0.5,0.75,5,287794.0,50.0,True
NM:AKOUOS,2025-03-31,4,0.5,0.75,5,287794.0,50.0,True
NM:AKOUOS,2025-06-30,4,0.5,0.75,5,287794.0,50.0,True
NM:AKOUOS,2025-09-30,4,0.5,0.75,5,287794.0,50.0,True
NM:AKOUOS,2025-12-31,4,0.5,0.75,5,287794.0,50.0,True
NM:AKOUOS,2026-03-31,4,0.5,0.75,5,287794.0,50.0,True
NM:ALDER BIOPHARMACEUTICALS,2019-10-31,5,0.8799999999999999,0.8999999999999999,6,201727.5,2.2727272727272707,True
NM:ALDER BIOPHARMACEUTICALS,2019-12-31,11,0.8799999999999999,2.0,21,769745.2,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2020-01-31,7,0.8799999999999999,0.8999999999999999,8,213603.98,2.2727272727272707,True
NM:ALDER BIOPHARMACEUTICALS,2020-03-31,8,0.8799999999999999,2.0,16,1029152.63,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2020-06-30,8,0.8799999999999999,2.0,16,950453.74,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2020-09-30,7,0.8799999999999999,2.0,15,947770.24,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2020-12-31,6,0.88,2.0,13,948098.18,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2021-03-31,6,0.88,2.0,13,807893.34,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2021-06-30,7,0.88,2.0,14,815813.34,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2021-09-30,9,0.88,2.0,16,3618088.54,127.2727272727273,True
NM:ALDER BIOPHARMACEUTICALS,2021-12-31,6,0.88,2.0,13,1195066.14,127.2727272727273,True
NM:ALIGNMENT HEALTHCARE PARTNERS,2020-05-31,2,12.11860031332525,17.798299997128336,7,63898636.5,46.867621152237014,True
NM:ALIGNMENT HEALTHCARE PARTNERS,2020-08-31,2,12.11860031332525,14.73,7,53082145.68,21.5486906008719,True
NM:ALIGNMENT HEALTHCARE PARTNERS,2020-11-30,2,12.11860031332525,14.938999994491542,7,53818920.63,23.27331216679427,True
NM:ALIGNMENT HEALTHCARE PARTNERS,2021-02-28,2,12.28,18.722,7,67170287.47999999,52.45928338762216,True
NM:ALKAMI,2020-10-31,2,16.0,16.0,5,29481600.0,0.0,True
NM:ALKAMI,2021-01-31,2,16.0,18.31429099312134,5,31214656.810000002,14.464318707008372,True
NM:ALKANE RESOURCES,2021-04-30,2,0.5619673427408665,0.5677508256401289,6,5915049.27,1.02914928669251,True
NM:ALLBIRDS,2019-09-30,3,50.28,54.835799992876346,12,94108366.17,9.06085917437618,True
NM:ALLBIRDS,2019-11-30,2,47.77,54.835803858520904,6,9943015.57,14.791299682899094,True
NM:ALLBIRDS,2019-12-31,3,11.37,12.885800492610835,12,110365831.66,13.331578650930842,True
NM:ALLBIRDS,2020-02-29,2,11.37,12.885800643086815,7,21586116.96,13.331579974378327,True
NM:ALLBIRDS,2020-03-31,3,8.32,9.535500392772978,12,82418479.87,14.609379720829052,True
NM:ALLBIRDS,2020-05-31,2,8.84,9.53550160771704,7,16777101.719999999,7.867665245667865,True
NM:ALLBIRDS,2020-06-30,3,10.31,12.885800492610835,12,108491895.2,24.983515932209844,True
NM:ALLBIRDS,2020-08-31,3,11.56,12.885800643086815,10,22516713.299999997,11.468863694522625,True
NM:ALLBIRDS,2020-09-30,4,11.56,11.562430430962209,13,113044923.64,0.02102448929246492,True
NM:ALLBIRDS,2020-10-31,2,11.56,11.562430000132844,7,33534774.89,0.021020762394829973,True
NM:ALLBIRDS,2020-11-30,3,11.56,11.562430868167205,10,22442108.33,0.021028271342604654,True
NM:ALLBIRDS,2020-12-31,4,11.56,11.562430430962209,13,113044923.64,0.02102448929246492,True
NM:ALLBIRDS,2021-01-31,2,11.56,12.01598300168351,7,34473530.73,3.9444896339404067,True
NM:ALLBIRDS,2021-02-28,2,11.56,11.562430868167205,7,21928447.369999997,0.021028271342604654,True
NM:ALLBIRDS,2021-03-31,4,11.48,11.96673997748723,13,112835023.53,4.239895274278993,True
NM:ALLBIRDS,2021-04-30,2,11.05,12.001853997136353,7,34020622.12,8.61406332250092,True
NM:ALLBIRDS,2021-05-31,2,10.78,11.562430868167205,7,20458169.21,7.25817131880524,True
NM:ALLBIRDS,2021-06-30,4,10.81,12.34658996449909,13,110799357.0,14.214523260861146,True
NM:ALLBIRDS,2021-07-31,2,11.26,12.17918800149677,7,34562115.0,8.163303743310578,True
NM:ALLBIRDS,2021-08-31,3,11.562430379746836,11.63,10,22574056.37,0.5843894236243097,True
NM:ALLBIRDS,2021-09-30,4,11.52,11.954402004502557,13,112957511.16,3.770850733529141,True
NM:ALLCARGO TERMINALS,2023-06-30,4,0.4653430166048463,0.7482367267413542,5,161335.72999999998,60.79251219895963,True
NM:ALLKEM,2023-12-31,3,6.698653517399654,7.448243282288356,5,912929.91,11.190155796857582,True
NM:ALPIQ,2020-04-30,2,72.52007256875561,72.52007329363262,5,5238777.5200000005,9.995536176532482e-07,True
NM:ALTABA ESCROW SHS,2019-12-31,3,19.63,20.75,5,37911263.22,5.705552725420282,True
NM:ALTICE,2025-12-31,3,16.59970018571064,18.509402804713968,18,4870214.19,11.50444042746772,True
NM:ALTICE,2026-03-31,3,13.870202660030893,18.248067560854448,18,4087545.4699999997,31.563092538215322,True
NM:ALTICE FRANCE,2025-11-30,3,13.346333333333334,16.81057063647915,21,16701940.98,25.956472213185755,True
NM:ALTICE FRANCE,2025-12-31,3,15.077816065600302,17.921801639929033,10,10966853.12,18.86205244814745,True
NM:ALTICE FRANCE,2026-01-31,3,15.20804054304783,18.891515550539253,10,41845674.19,24.220575931955146,True
NM:ALTICE FRANCE,2026-02-28,3,15.644285714285717,18.17300796144138,22,20052152.509999998,16.163871546059404,True
NM:ALTICE FRANCE,2026-03-31,3,14.829555550791133,16.9043142688468,10,10816146.38,13.990700604273897,True
NM:ALTICE FRANCE,2026-04-30,3,15.022720057232306,20.280672184599947,10,36688465.58,35.00000071449334,True
NM:ALTICE FRANCE LUXCO 3,2025-12-31,2,17.921778611488502,17.921782755065276,7,1343721.9,2.3120343484173134e-05,True
NM:ALTICE FRANCE LUXCO 3,2026-03-31,3,16.8508966801117,16.904395160519492,7,1267268.6,0.3174815051292468,True
NM:ALTUS SAN NICOLAS,2019-09-30,10,0.0999874299445112,0.10022961144321085,14,31771.34,0.24221194487552555,True
NM:ALTUS SAN NICOLAS,2019-10-31,6,0.0980097186923745,0.1023517548849609,20,360727.42,4.43020983073612,True
NM:ALTUS SAN NICOLAS,2019-11-30,4,0.1019847920820027,0.10221074574183694,7,5327.13,0.221556229337172,True
NM:ALTUS SAN NICOLAS,2019-12-31,13,0.0767100860548949,0.1994270941734491,16,32183.370000000003,159.97506251099242,True
NM:ALTUS SAN NICOLAS,2020-01-31,6,0.076056338028169,0.10221261329305134,20,359393.37,34.390658218641605,True
NM:ALTUS SAN NICOLAS,2020-02-29,4,0.1016636968296254,0.1018899896893351,6,5300.71,0.22258964287806826,True
NM:ALTUS SAN NICOLAS,2020-03-31,13,0.0381925310063376,0.1985841041737363,16,30070.82,419.9553392802996,False
NM:ALTUS SAN NICOLAS,2020-04-30,5,0.0385446009389671,0.1030319323354679,18,362728.87,167.30574406156742,True
NM:ALTUS SAN NICOLAS,2020-05-31,3,0.1025264060947576,0.1026039733017232,5,3050.8199999999997,0.07565583338005055,True
NM:AMASTEN FASTIGHETS,2022-12-31,7,1.873527633851468,1.8735338630344305,7,4853984.43,0.00033248417850018086,True
NM:AMASTEN FASTIGHETS,2023-01-31,7,0.1867298578199052,1.8694568973580679,15,4814259.22,901.1558511232292,False
NM:AMERIFORGE,2019-10-31,5,43.22,54.61,6,38531920.349999994,26.353540027764932,True
NM:AMERIFORGE,2020-01-31,4,38.239999999999995,50.669999999999995,6,34249834.349999994,32.50523012552302,True
NM:AMERIFORGE,2020-04-30,4,20.28,48.0,6,18505688.759999998,136.68639053254435,True
NM:AMERIFORGE,2020-07-31,4,19.64,48.0,6,17284797.12,144.39918533604884,True
NM:AMERIFORGE,2020-10-31,4,12.46,48.0,6,18761212.2,285.23274478330654,True
NM:AMERIFORGE,2021-01-31,4,11.48,48.0,6,10932834.39,318.11846689895475,False
NM:AMERIFORGE,2021-02-28,3,2.41,23.5,7,630542.49,875.1037344398339,False
NM:AMERIFORGE,2021-04-30,4,6.79,48.0,5,9080416.42,606.9219440353461,False
NM:AMERIFORGE,2021-05-31,2,0.5,24.5,5,89653.5,4800.0,False
