section,check,value
4.1,median_gap_pct,-4.6
4.1,bootstrap_ci_lo,-20.33
4.1,bootstrap_ci_hi,4.02
4.1,sign_test_p,1.0
4.1,wilcoxon_p,0.281
4.1,winsor10_mean_pct,-5.81
4.1,loo_median_min_pct,-6.7
4.1,loo_median_max_pct,-2.3
4.2,omnibus_kruskal_p_clean,0.302
4.2,omnibus_kruskal_p_full,0.284
4.2,favored_median_clean_pct,4.0
4.2,rest_median_clean_pct,-15.0
4.2,favored_vs_rest_mwu_p_one_clean,0.012
4.2,favored_vs_rest_mwu_p_two_clean,0.025
4.2,favored_vs_rest_perm_p_one_clean,0.005
4.2,favored_vs_rest_rank_biserial_clean,0.67
4.2,favored_vs_rest_hodges_lehmann_pts_clean,26.5
4.2,favored_vs_rest_loo_p_max_clean,0.025
4.2,favored_vs_rest_mwu_p_one_full,0.026
4.2,recode_baseline_mwu_p_one,0.012
4.2,recode_add_semis_mwu_p_one,0.003
4.2,recode_add_robotics_mwu_p_one,0.017
4.2,recode_drop_ai_mwu_p_one,0.031
4.2,recode_drop_defense_mwu_p_one,0.123
4.2,recode_add_semis_median_fav,5.3
4.2,recode_add_semis_median_rest,-20.3
4.2,recode_drop_defense_median_fav,0.0
4.2,recode_drop_defense_median_rest,-9.3
4.2,mv_recency_mwu_p_clean,0.46
4.2,mv_size_mwu_p_clean,0.008
4.2,mv_favored_coef_raw_clean,41.4
4.2,mv_favored_fl_p_raw_clean,0.003
4.2,mv_favored_coef_rank_clean,7.43
4.2,mv_favored_fl_p_rank_clean,0.002
4.2,mv_favored_fl_p_raw_full,0.226
4.4,spread_med_K2_f5,23.7
4.4,spread_med_K3_f5,23.7
4.4,spread_med_K4_f5,23.7
4.4,spread_med_K5_f5,23.7
4.4,spread_med_K3_f3,15.2
4.4,family_collapsed_spread_med,23.7
4.4,family_collapsed_spread_max,52.9
4.4,eta2_between_family_med_material,1.0
4.4,within_family_zero_share_pct,89.0
4.5,drawdown_med_K3,-62.0
4.5,recovery_med_K3,171.0
4.5,drawdown_med_K4,-62.0
4.5,recovery_med_K4,171.0
4.5,drawdown_med_K5,-62.0
4.5,recovery_med_K5,171.0
4.5,drawdown_med_K6,-62.0
4.5,recovery_med_K6,171.0
4.5,drawdown_med_meanpath,-62.0
4.5,recovery_med_meanpath,137.0
