m,cells,companies,pooled_median,within_company_median
-6,22,17,7.32719411968098,1.6796952717612612e-06
-5,15,11,21.93578087236736,2.247545973915841
-4,21,16,0.7738814993954124,2.220446049250313e-14
-3,27,20,3.8210399032648112,2.220446049250313e-14
-2,23,16,12.751800180813122,1.7954700106930872
-1,31,20,6.818436525215876,0.6070354376543126
0,46,29,0.00722316541066359,-1.398489816354953
1,35,20,0.0017025536291681576,-3.5276133563054595
2,33,21,0.45938052361818027,0.0
3,37,28,6.834656541249573,0.0
4,20,15,4.495410451582027,-1.6395346225887508
5,22,17,13.231608886243995,2.2270819927817964
6,25,21,17.692307692307697,0.0
7,16,13,15.562095130342911,3.6652354896948376
8,22,18,13.32015571540931,0.057655195384520574
9,21,19,17.350611951043927,2.051816078708079
10,12,10,24.35652289762068,19.788941715124412
11,15,13,17.640311430818613,10.864333133167904
12,19,18,31.330472103004283,6.2766499682387575
