design_key,statistic,value
9ad66b116b7c753c,cells,462.0
9ad66b116b7c753c,companies,43.0
9ad66b116b7c753c,cells_with_first_rounds,858.0
9ad66b116b7c753c,companies_with_first_rounds,123.0
9ad66b116b7c753c,cells_before,139.0
9ad66b116b7c753c,companies_before,31.0
9ad66b116b7c753c,cells_after,323.0
9ad66b116b7c753c,companies_after,43.0
9ad66b116b7c753c,step_companies,31.0
9ad66b116b7c753c,step_median_pre,5.219336689196751
9ad66b116b7c753c,step_median_post,0.0004364562826042473
9ad66b116b7c753c,step_pts,-2.5177533892833948
9ad66b116b7c753c,step_narrower_after,22.0
9ad66b116b7c753c,step_untied,29.0
9ad66b116b7c753c,step_p_sign,0.004065029323101044
9ad66b116b7c753c,step_null_share,0.0
9ad66b116b7c753c,nearfar_pts,-7.77277979531198
9ad66b116b7c753c,nearfar_companies,17.0
9ad66b116b7c753c,nearfar_p,0.009938979244957083
9ad66b116b7c753c,nearfar_null_share,0.3075
9ad66b116b7c753c,round_month_cells,46.0
9ad66b116b7c753c,new_series_share_median,0.2583333333333333
9ad66b116b7c753c,round_month_cells_all_new_series,0.0
9ad66b116b7c753c,width_houses_pre,4.0
9ad66b116b7c753c,width_houses_post,4.0
9ad66b116b7c753c,width_mwu_p,0.5956350013753207
9ad66b116b7c753c,width_distinct_month_medians,3.0
9ad66b116b7c753c,rebuild_slope,1.1077574938183181
9ad66b116b7c753c,rebuild_companies,36.0
9ad66b116b7c753c,rebuild_rising,24.0
9ad66b116b7c753c,rebuild_p_sign,0.032622667611576624
9ad66b116b7c753c,rebuild_null_median,0.04504273203615593
9ad66b116b7c753c,rebuild_null_share,0.045
9ad66b116b7c753c,multi_events,30.0
9ad66b116b7c753c,multi_companies,12.0
9ad66b116b7c753c,multi_companies_two_or_more,10.0
9ad66b116b7c753c,multi_step_pts,-8.805415101141147
9ad66b116b7c753c,multi_negative,23.0
9ad66b116b7c753c,multi_untied,29.0
9ad66b116b7c753c,multi_p_sign,0.0011578500270843506
9ad66b116b7c753c,multi_companies_negative_every_round,5.0
9ad66b116b7c753c,placebo_+0_events,49.0
9ad66b116b7c753c,placebo_+0_companies,31.0
9ad66b116b7c753c,placebo_+0_step_pts,-1.935097258588958
9ad66b116b7c753c,placebo_+0_negative,34.0
9ad66b116b7c753c,placebo_+0_untied,46.0
9ad66b116b7c753c,placebo_+0_p_sign,0.0008207456704241167
9ad66b116b7c753c,placebo_-6_events,37.0
9ad66b116b7c753c,placebo_-6_companies,22.0
9ad66b116b7c753c,placebo_-6_step_pts,0.0
9ad66b116b7c753c,placebo_-6_negative,14.0
9ad66b116b7c753c,placebo_-6_untied,31.0
9ad66b116b7c753c,placebo_-6_p_sign,0.7634351700544357
9ad66b116b7c753c,placebo_+6_events,49.0
9ad66b116b7c753c,placebo_+6_companies,35.0
9ad66b116b7c753c,placebo_+6_step_pts,2.220446049250313e-14
9ad66b116b7c753c,placebo_+6_negative,17.0
9ad66b116b7c753c,placebo_+6_untied,41.0
9ad66b116b7c753c,placebo_+6_p_sign,0.8944882011955997
9ad66b116b7c753c,placebo_+12_events,37.0
9ad66b116b7c753c,placebo_+12_companies,29.0
9ad66b116b7c753c,placebo_+12_step_pts,0.0
9ad66b116b7c753c,placebo_+12_negative,13.0
9ad66b116b7c753c,placebo_+12_untied,31.0
9ad66b116b7c753c,placebo_+12_p_sign,0.8594792424701154
9ad66b116b7c753c,ladder0_events,49.0
9ad66b116b7c753c,ladder0_step_pts,-1.935097258588958
9ad66b116b7c753c,ladder0_negative,34.0
9ad66b116b7c753c,ladder0_untied,46.0
9ad66b116b7c753c,ladder0_p_sign,0.0008207456704241167
9ad66b116b7c753c,ladder1_events,50.0
9ad66b116b7c753c,ladder1_step_pts,-1.5969869766153222
9ad66b116b7c753c,ladder1_negative,34.0
9ad66b116b7c753c,ladder1_untied,47.0
9ad66b116b7c753c,ladder1_p_sign,0.0015438382307593197
9ad66b116b7c753c,ladder2_events,49.0
9ad66b116b7c753c,ladder2_step_pts,-1.935097258588958
9ad66b116b7c753c,ladder2_negative,34.0
9ad66b116b7c753c,ladder2_untied,46.0
9ad66b116b7c753c,ladder2_p_sign,0.0008207456704241167
9ad66b116b7c753c,ladder3_events,64.0
9ad66b116b7c753c,ladder3_step_pts,-1.0796883594389022
9ad66b116b7c753c,ladder3_negative,43.0
9ad66b116b7c753c,ladder3_untied,60.0
9ad66b116b7c753c,ladder3_p_sign,0.0005328828895717177
9ad66b116b7c753c,ladder4_events,103.0
9ad66b116b7c753c,ladder4_step_pts,-1.0191206989418333e-06
9ad66b116b7c753c,ladder4_negative,55.0
9ad66b116b7c753c,ladder4_untied,93.0
9ad66b116b7c753c,ladder4_p_sign,0.048282598648852315
9ad66b116b7c753c,ladder5_events,107.0
9ad66b116b7c753c,ladder5_step_pts,-1.0191206989418333e-06
9ad66b116b7c753c,ladder5_negative,57.0
9ad66b116b7c753c,ladder5_untied,97.0
9ad66b116b7c753c,ladder5_p_sign,0.05188469143635898
9ad66b116b7c753c,updown_up_events,43.0
9ad66b116b7c753c,updown_up_step_pts,-1.935097258588958
9ad66b116b7c753c,updown_up_negative,31.0
9ad66b116b7c753c,updown_up_untied,40.0
9ad66b116b7c753c,updown_up_p_sign,0.00033977412749663927
9ad66b116b7c753c,updown_down_events,7.0
9ad66b116b7c753c,updown_down_step_pts,3.7745520264920174e-06
9ad66b116b7c753c,updown_down_negative,3.0
9ad66b116b7c753c,updown_down_untied,7.0
9ad66b116b7c753c,updown_down_p_sign,0.7734375
9ad66b116b7c753c,updown_all_events,50.0
9ad66b116b7c753c,updown_all_step_pts,-1.5969869766153222
9ad66b116b7c753c,updown_all_negative,34.0
9ad66b116b7c753c,updown_all_untied,47.0
9ad66b116b7c753c,updown_all_p_sign,0.0015438382307593197
9ad66b116b7c753c,side_identified_cell_pct,60.54788105830017
9ad66b116b7c753c,side_two_house_cell_pct,39.45211894169983
9ad66b116b7c753c,twosided_placebo_top_narrowed,38.0
9ad66b116b7c753c,twosided_placebo_top_untied,76.0
9ad66b116b7c753c,twosided_+0_events,42.0
9ad66b116b7c753c,twosided_+0_top_narrowed,29.0
9ad66b116b7c753c,twosided_+0_top_untied,34.0
9ad66b116b7c753c,twosided_+0_top_p_sign,1.9279075786471367e-05
9ad66b116b7c753c,twosided_+0_bottom_narrowed,23.0
9ad66b116b7c753c,twosided_+0_bottom_untied,37.0
9ad66b116b7c753c,twosided_+0_bottom_p_sign,0.09387077949941158
9ad66b116b7c753c,twosided_-6_events,31.0
9ad66b116b7c753c,twosided_-6_top_narrowed,14.0
9ad66b116b7c753c,twosided_-6_top_untied,22.0
9ad66b116b7c753c,twosided_-6_top_p_sign,0.14313936233520508
9ad66b116b7c753c,twosided_-6_bottom_narrowed,11.0
9ad66b116b7c753c,twosided_-6_bottom_untied,23.0
9ad66b116b7c753c,twosided_-6_bottom_p_sign,0.6611802577972412
9ad66b116b7c753c,twosided_+6_events,43.0
9ad66b116b7c753c,twosided_+6_top_narrowed,14.0
9ad66b116b7c753c,twosided_+6_top_untied,30.0
9ad66b116b7c753c,twosided_+6_top_p_sign,0.707667644135654
9ad66b116b7c753c,twosided_+6_bottom_narrowed,15.0
9ad66b116b7c753c,twosided_+6_bottom_untied,34.0
9ad66b116b7c753c,twosided_+6_bottom_p_sign,0.804235847434029
9ad66b116b7c753c,twosided_+12_events,32.0
9ad66b116b7c753c,twosided_+12_top_narrowed,10.0
9ad66b116b7c753c,twosided_+12_top_untied,24.0
9ad66b116b7c753c,twosided_+12_top_p_sign,0.8462718725204468
9ad66b116b7c753c,twosided_+12_bottom_narrowed,14.0
9ad66b116b7c753c,twosided_+12_bottom_untied,27.0
9ad66b116b7c753c,twosided_+12_bottom_p_sign,0.5
