sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
AI+Data/AI+Defense+FinTech+Robotics+Semiconductors,6,12,0.0025945166241414463,28.714285714285715,1,True
AI+Data/AI+Defense+Semiconductors,4,8,0.002617243932191454,25.675127536874786,2,True
AI+Data/AI+Defense+FinTech+Semiconductors,5,11,0.0028413525753184657,27.523809523809522,3,True
AI+Data/AI+Defense+Robotics+Semiconductors,5,9,0.003509371142086469,27.53955755530559,4,True
AI+Data/AI+Defense+FinTech+Logistics+Robotics+Semiconductors,7,13,0.003878324911927978,33.53214285714285,5,True
AI+Data/AI+Defense+FinTech+Logistics+Semiconductors,6,12,0.004881523453271192,28.714285714285715,6,True
AI+Data/AI+Defense+Energy+FinTech+Robotics+Semiconductors,7,13,0.005398737773362627,33.53214285714285,7,True
AI+Data/AI+Defense+Logistics+Semiconductors,5,9,0.0061505725126197505,27.53955755530559,8,True
AI+Data/AI+Defense+Energy+FinTech+Semiconductors,6,12,0.006594277421252077,28.714285714285715,9,True
AI+Data/AI+Defense+Energy+FinTech+Logistics+Robotics+Semiconductors,8,14,0.00698029510566705,40.349999999999994,10,True
AI+Data/AI+Defense+Logistics+Robotics+Semiconductors,6,10,0.007318330105497583,28.722159730033745,11,True
AI+Data/AI+Defense+FinTech+Quantum+Robotics+Semiconductors,7,13,0.007427628116694808,30.34166666666666,12,True
AI+Defense+Semiconductors,3,6,0.007898544114162805,15.078636308804615,13,False
AI+Data/AI+Defense+Energy+Semiconductors,5,9,0.0080398497872525,22.241311941270503,14,True
Data/AI+Defense+Semiconductors,3,5,0.00881824339697354,29.268421052631577,15,False
AI+Data/AI+Defense+FinTech+Quantum+Semiconductors,6,12,0.00881824339697354,22.33333333333333,16,True
AI+Data/AI+Defense+Energy+Robotics+Semiconductors,6,10,0.00954940678584302,28.722159730033745,17,True
AI+Data/AI+Defense+FinTech+Logistics+Quantum+Robotics+Semiconductors,8,14,0.009844812521702424,40.349999999999994,18,True
AI+Data/AI+Defense+Energy+FinTech+Logistics+Semiconductors,7,13,0.010100553545697229,33.53214285714285,19,True
AI+Data/AI+Defense+Quantum+Semiconductors,5,9,0.010421470038532181,19.05083575079431,20,True
AI+Data/AI+Defense,3,7,0.012353708415201756,19.05083575079431,21,True
AI+Defense+Robotics+Semiconductors,4,7,0.012353708415201756,19.05083575079431,22,False
AI+Data/AI+Defense+Quantum+Robotics+Semiconductors,6,10,0.012353708415201756,22.34120734908136,23,True
AI+Data/AI+Defense+FinTech+Logistics+Quantum+Semiconductors,7,13,0.01357708641346376,30.34166666666666,24,True
AI+Crypto+Data/AI+Defense+FinTech+Robotics+Semiconductors,7,13,0.01357708641346376,23.52380952380952,25,True
AI+Data/AI+Defense+Energy+FinTech+Quantum+Robotics+Semiconductors,8,14,0.013686925158128995,40.349999999999994,26,True
Defense+Semiconductors,2,3,0.013686925158128995,28.91388888888889,27,False
AI+Defense+FinTech+Semiconductors,4,9,0.015140646735213304,19.035087719298243,28,False
AI+Data/AI+Defense+Energy+FinTech+Logistics+Quantum+Robotics+Semiconductors,9,15,0.015276048986110012,42.62954545454545,29,True
AI+Crypto+Data/AI+Defense+FinTech+Semiconductors,6,12,0.015300802887320032,22.33333333333333,30,True
Data/AI+Defense+Robotics+Semiconductors,4,6,0.015303055314604552,21.744716121011187,31,False
AI+Data/AI+Defense+Energy+Logistics+Semiconductors,6,10,0.01584508761485047,28.722159730033745,32,True
AI+Crypto+Data/AI+Defense+Semiconductors,5,9,0.017076978627357412,19.05083575079431,33,True
AI+Data/AI+Defense+Robotics,4,8,0.017076978627357412,22.34120734908136,34,True
AI+Data/AI+Defense+Energy+Logistics+Robotics+Semiconductors,7,11,0.017348635473012092,28.768101761252446,35,True
AI+Defense+FinTech+Robotics+Semiconductors,5,10,0.01788765711558355,22.33333333333333,36,False
AI+Data/AI+Defense+FinTech,4,10,0.01788765711558355,22.33333333333333,37,True
AI+Data/AI+Defense+FinTech+Robotics+SaaS+Semiconductors,7,13,0.018041218825998424,23.52380952380952,38,True
AI+Data/AI+Defense+Energy+FinTech+Quantum+Semiconductors,7,13,0.018041218825998424,25.043421052631572,39,True
AI+Crypto+Data/AI+Defense+FinTech+Logistics+Robotics+Semiconductors,8,14,0.018759118450156022,26.71428571428571,40,True
AI+Data/AI+Defense+FinTech+Robotics,5,11,0.019623339211791106,23.52380952380952,41,True
AI+Data/AI+Defense+FinTech+SaaS+Semiconductors,6,12,0.019855567089798107,22.33333333333333,42,True
AI+Data/AI+Defense+Logistics+Quantum+Semiconductors,6,10,0.020150664860967258,22.34120734908136,43,True
AI+Crypto+Data/AI+Defense+Robotics+Semiconductors,6,10,0.020150664860967258,22.34120734908136,44,True
AI+Defense+Logistics+Semiconductors,4,7,0.020150664860967258,18.69630358705162,45,False
Data/AI+Defense+FinTech+Semiconductors,4,8,0.021589969882980682,13.74471612101119,46,False
AI+Data/AI+Defense+SaaS+Semiconductors,5,9,0.021589969882980682,19.05083575079431,47,True
AI+Data/AI+Defense+Logistics+Quantum+Robotics+Semiconductors,7,11,0.02214644443529432,25.577625570776252,48,True
AI+Crypto+Data/AI+Defense+FinTech+Logistics+Semiconductors,7,13,0.02370047077943609,23.52380952380952,49,True
Data/AI+Defense+Logistics+Semiconductors,4,6,0.02493801150303743,20.80787401574804,50,False
AI+Crypto+Data/AI+Defense+Energy+FinTech+Robotics+Semiconductors,8,14,0.025349773465961355,26.71428571428571,51,True
AI+Data/AI+Defense+FinTech+Logistics+Robotics+SaaS+Semiconductors,8,14,0.025349773465961355,26.71428571428571,52,True
AI+Data/AI+Defense+Energy+FinTech+Logistics+Quantum+Semiconductors,8,14,0.025349773465961355,40.349999999999994,53,True
AI+Data/AI+Defense+Energy+Quantum+Semiconductors,6,10,0.02540996335596095,11.744716121011189,54,True
AI+Data/AI+Defense+Robotics+SaaS+Semiconductors,6,10,0.02540996335596095,22.34120734908136,55,True
AI+Defense+Energy+Semiconductors,4,7,0.02540996335596095,13.398057973016535,56,False
Data/AI+Defense+FinTech+Robotics+Semiconductors,5,9,0.0270720956996846,19.035087719298243,57,False
AI+Defense+Logistics+Robotics+Semiconductors,5,8,0.0270720956996846,22.34120734908136,58,False
AI+Data/AI+Defense+Logistics,4,8,0.0270720956996846,22.34120734908136,59,True
AI+Data/AI+Defense+Energy+Quantum+Robotics+Semiconductors,7,11,0.02801880757733692,20.279379956741167,60,True
AI+Defense+FinTech+Logistics+Semiconductors,5,10,0.028443875825614025,22.33333333333333,61,False
AI+Defense,2,5,0.02881313223032085,13.398057973016535,62,False
AI+Data/AI+Defense+FinTech+Logistics+SaaS+Semiconductors,7,13,0.03078338897598351,23.52380952380952,63,True
AI+Crypto+Data/AI+Defense+Energy+FinTech+Semiconductors,7,13,0.03078338897598351,18.225563909774433,64,True
Defense+Robotics+Semiconductors,3,4,0.03078338897598351,21.035651793525812,65,False
Data/AI+Defense,2,4,0.03078338897598351,24.501903866494313,66,False
AI+Crypto+Data/AI+Defense+Energy+FinTech+Logistics+Robotics+Semiconductors,9,15,0.03112345889522688,35.81168831168831,67,True
AI+Defense+FinTech+Logistics+Robotics+Semiconductors,6,11,0.0314102154226432,23.52380952380952,68,False
AI+Data/AI+Defense+FinTech+Logistics,5,11,0.0314102154226432,23.52380952380952,69,True
Data/AI+Defense+Energy+Semiconductors,4,6,0.0314102154226432,20.80787401574804,70,False
AI+Crypto+Data/AI+Defense+Logistics+Semiconductors,6,10,0.03177332089256967,22.34120734908136,71,True
AI+Defense+Quantum+Semiconductors,4,7,0.03177332089256967,13.398057973016535,72,False
AI+Data/AI+Defense+FinTech+Logistics+Robotics,6,12,0.03246111074741345,26.71428571428571,73,True
AI+Data/AI+Defense+Logistics+Robotics,5,9,0.03367006711412767,23.52380952380952,74,True
AI+Data/AI+Defense+Energy,4,8,0.03367006711412767,11.744716121011189,75,True
AI+Defense+Energy+Robotics+Semiconductors,5,8,0.03367006711412767,11.744716121011189,76,False
AI+Crypto+Data/AI+Defense+FinTech+Quantum+Robotics+Semiconductors,8,14,0.03377862585538489,20.333333333333325,77,True
AI+Data/AI+Defense+Energy+FinTech+Robotics+SaaS+Semiconductors,8,14,0.03377862585538489,26.71428571428571,78,True
AI+Crypto+Data/AI+Defense+Logistics+Robotics+Semiconductors,7,11,0.03513412623508042,23.52380952380952,79,True
AI+Defense+Energy+FinTech+Semiconductors,5,10,0.03541838829098138,11.736842105263156,80,False
Data/AI+Defense+Logistics+Robotics+Semiconductors,5,7,0.03541838829098138,16.482414698162735,81,False
AI+Defense+Energy+FinTech+Robotics+Semiconductors,6,11,0.03921281629093425,18.225563909774433,82,False
Data/AI+Defense+Quantum+Semiconductors,4,6,0.03921281629093425,20.80787401574804,83,False
