company,k,first_dt,last_dt,restatement_span_days,funds,houses,registrants,canonical_k,houses_list
NM:PROJECT DEBUSSY,3,2022-08-31,2022-10-31,61,72,14,47,True,BNY Mellon | BlackRock | Brighthouse | Fidelity | Franklin Templeton | GREAT-WEST FUNDS INC
NM:CHECKR,3,2022-05-31,2022-08-31,92,16,5,13,True,Fidelity | Franklin Templeton | MassMutual | T. Rowe Price | VALIC
NM:ALLBIRDS,5,2019-12-31,2020-02-29,60,21,4,14,True,Fidelity | MassMutual | T. Rowe Price | VALIC
NM:DISCORD,10,2026-02-28,2026-04-30,61,16,3,8,True,ARK | DESTINY TECH100 INC. | Fidelity
NM:PINE PRIVATE IND,127,2025-06-30,2025-09-30,92,12,3,9,False,Baron | Capital Group | Fidelity
NM:SPACEX,10,2022-02-28,2022-04-30,61,12,3,8,True,Baron | Fidelity | PRIVATE SHARES FUND
NM:UIPATH,3,2020-08-31,2020-09-30,30,6,3,5,True,Fidelity | Penn Mutual | Principal
NM:HASHICORP,2,2021-01-31,2021-03-31,59,4,3,4,True,Franklin Templeton | MassMutual | T. Rowe Price
ROW:89169,2,2020-03-31,2020-03-31,0,3,3,3,True,MERGER FUND | MERGER FUND VL | WESTCHESTER CAPITAL FUNDS
NM:DELHIVERY,100,2022-03-31,2022-04-30,30,15,2,6,True,Fidelity | Invesco
NM:PAX,4,2019-12-31,2019-12-31,0,11,2,9,True,MassMutual | T. Rowe Price
NM:SECURITYSCORECARD,3,2022-08-31,2022-09-30,30,9,2,7,True,MassMutual | T. Rowe Price
NM:SEISMIC SOFTWARE,5,2021-03-31,2021-05-28,58,9,2,7,True,MassMutual | T. Rowe Price
NM:HONEST,2,2021-04-30,2021-04-30,0,6,2,4,True,AllianceBernstein | Hartford
NM:PERPLEXITY AI,10,2026-03-31,2026-04-30,30,6,2,6,True,ARK | T. Rowe Price
NM:HILLENBRAND,4,2022-12-30,2023-01-31,32,5,2,5,True,BlackRock | MASTER BOND LLC
NM:CARBON HEALTH,99,2023-03-31,2023-06-30,91,4,2,4,False,BlackRock | Capital Group
NM:GRUPO AEROMEXICO SAB DE CV,10,2025-10-31,2025-10-31,0,4,2,3,True,Macquarie | NATIONWIDE MUTUAL FUNDS
NM:ADVANCED MFG ENT,2,2019-12-31,2019-12-31,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:CABLECRAFT EQUITY,2,2019-12-31,2019-12-31,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:CHECKR,3,2022-09-30,2022-09-30,0,2,2,2,True,Fidelity | PRIVATE SHARES FUND
NM:CHG ALT ED,2,2019-12-31,2019-12-31,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:CLOUDBREAK,2,2024-06-30,2024-06-30,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:DCCP PETERSON PARTY,2,2019-12-31,2019-12-31,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:IRON HORSE II,9,2026-04-30,2026-04-30,0,2,2,2,False,SABA CAPITAL INCOME & OPPORTUNITIES FUND | SABA CAPITAL INCOME & OPPORTUNITIES FUND II
NM:MES PARTNERS,2,2019-12-31,2019-12-31,0,2,2,2,True,BARINGS CORPORATE INVESTORS | BARINGS PARTICIPATION INVESTORS
NM:SUNAC CHINA,2,2022-09-30,2022-12-31,92,2,2,2,True,GUIDESTONE FUNDS | SPDR INDEX SHARES FUNDS
ROW:297059,2,2024-12-31,2024-12-31,0,2,2,2,True,HIGHLAND OPPORTUNITIES AND INCOME FUND | NEXPOINT REAL ESTATE STRATEGIES FUND
ROW:33217,2,2020-11-30,2020-11-30,0,2,2,2,True,Morgan Stanley | Principal
